,,,,,,
#,Title,Article Link,Contributor,Type,Notes,
1,Building trust in the age of AI: A balancing act of ethics and innovation,https://business.inquirer.net/468719/building-trust-in-the-age-of-ai-a-balancing-act-of-ethics-and-innovation-2,Dan,News Article,,
2,Advancing AI Ethics in BangladeshAdvancing AI Ethics in Bangladesh,https://www.unesco.org/en/articles/advancing-ai-ethics-bangladesh,Awais,Industry Article,"Advancing AI Ethics in Bangladesh
Artificial Intelligence (AI) has become essential in our daily lives, influencing sectors such as healthcare, education, and governance. However, with its immense capabilities comes the responsibility to use it sensibly.


Ensuring that AI is developed and deployed ethically is crucial to prevent harm and ensure it benefits society positively. Recognizing this importance, UNESCO (United Nations Educational, Scientific and Cultural Organization) has taken significant steps to address AI ethics through its Recommendation on the Ethics of AI, which provides guidelines to promote the responsible use of AI, safeguarding human rights, and promoting societal well-being.

The Readiness Assessment Methodology (RAM)
The Readiness Assessment Methodology (RAM) is a key tool through which UNESCO is supporting the Member States to evaluate a country’s preparedness for implementing AI. The RAM focuses on multiple dimensions of readiness, including areas such as technological infrastructure, legislation, and the economy, with a focus throughout on ethical considerations and effective governance. The Readiness Assessment Methodology goes beyond other readiness assessment tools by combining both quantitative and qualitative questions. It provides detailed insights into institutional and regulatory gaps, allowing UNESCO to tailor support for governments to address these gaps effectively. Recognizing UNESCO’s role and efforts in steering global AI ethics and governance, UNESCO and the RAM was featured in the Oxford Insights Government AI Readiness Index 2023.
Implementation in Bangladesh
In 2024, UNESCO, in collaboration with the ICT Ministry and Aspire to Innovate (a2i) will conduct the Readiness Assessment Methodology in Bangladesh. The primary goal is to conduct the Readiness Assessment Methodology and develop a comprehensive report with data-driven insights and key recommendations, helping policymakers to make informed decisions on the ethical development, design, and deployment of AI technologies. This will help support Bangladesh in creating an ethical AI ecosystem aligned with the global standards. 
The Readiness Assessment Methodology is set to have an important impact on driving responsible AI practices on a global scale. By assessing readiness and identifying gaps, it empowers countries to build AI systems that serves the common good while upholding human rights and human dignity. ",
3,Global leaders convene in Hiroshima to chart ethical AI Pathways for peace,https://www.thecitizen.co.tz/tanzania/news/national/global-leaders-convene-in-hiroshima-to-chart-ethical-ai-pathways-for-peace-4686958,Dan,News Article,,
4,IBM reaffirms its commitment to the Rome Call for AI ethics,https://research.ibm.com/blog/ibm-ai-ethics-japan-rome-call,Dan,Industry Article,,
5,WHO releases AI ethics and governance guidance for large multi-modal models,https://www.who.int/news/item/18-01-2024-who-releases-ai-ethics-and-governance-guidance-for-large-multi-modal-models,Awais,Industry Article,,
6,"In Hiroshima, a call for peaceful, ethical AI",https://newsroom.cisco.com/c/r/newsroom/en/us/a/y2024/m07/in-hiroshima-a-call-for-peaceful-ethical-ai.html,Awais,Industry Article,,
7,Generative AI: 8 biggest concerns and risks,https://www.techtarget.com/searchenterpriseai/tip/Generative-AI-ethics-8-biggest-concerns,Rhea,News Article,,
8,IBM Recommits to the 'Rome Call for AI Ethics' as the Vatican Welcomes Eastern Religions to the Pledge,https://newsroom.ibm.com/2024-07-10-IBM-Recommits-to-the-Rome-Call-for-AI-Ethics-as-the-Vatican-Welcomes-Eastern-Religions-to-the-Pledge,Awais,News Article,,
9,How businesses can responsibly use AI and address ethical and security challenges,https://legal.thomsonreuters.com/blog/how-to-responsibly-use-ai-to-address-ethical-and-risk-challenges/,Ned,News Article,"How businesses can responsibly use AI and address ethical and security challenges


Addressing ethical and security concerns in AI usage, emphasizing transparency, accountability, and responsible governance frameworks.

In our Future of Professionals report, we address the many concerns and challenges that are being raised around the use and application of AI in professional and business capacities. Legal and accounting businesses are faced with figuring out how to use AI ethically and responsibly. Thomson Reuters has been a thought leader in developing principles to guide practices and helping our clients navigate the complexity with AI for decades. As generative artificial intelligence continues to infiltrate our lives personally and professionally, we strive to provide the most up-to-date research and best practices on leveraging these technologies with accountability and transparency. 

Ethical and security issues of AI
While many legal and accounting firms are trying to determine their AI practices and governance, there are a number of issues that need to be addressed. Older generations are being challenged to adapt to the changes the incorporation of AI into professional services is having and may offer resistance from a fear that AI will push ethics out the window. While younger generations are looking at the possibilities generative AI opens. However, there seems to be little debate over the fact that businesses that embrace AI will be the ones to get ahead. 

Across many industries, 15% of professionals reported data security and ethics as their biggest fear, with a lack of transparency and accountability close behind. The appeal of AI is that it can assist with numerous repetitive, time-consuming activities and tasks within the operations of a professional firm or department. It has also been found to improve mental health by relieving anxiety, isolation, and burnout by creating more tool-based capacity for this type of work increasing the amount of time professionals have to nurture client relationships and grow their client base.  


While there are other fears around accuracy and loss of jobs, data security and ethics make a combined 30%.
As much as AI can help businesses and departments do beneficial work, there are ethical considerations to take into account. AI can help fraudsters conduct their activities more efficiently and accurately. It is also important to always remember that AI generates responses based on algorithms created by humans and information provided by humans. As such, humans should be held accountable for verifying and fact-checking what AI generates.  

The eagerness to leverage AI has created some situations that have highlighted the necessity of consent and accountability, including cases where AI has “hallucinated” an answer – meaning it improvised a response based on the information it had – which led to legal and ethical consequences. Since AI does not provide any data on the source of the responses, ensuring a human validation process should be a part of AI policies. AI is also subject to bias risk mitigation, in which the data used to train a model may result in errors favoring one outcome over another. This can result in a lack of trust and fairness.  

 

Future of Professionals Report: How AI is the catalyst for transforming every aspect of work        
Future of Professionals Report
How AI is the Catalyst for Transforming Every Aspect of Work

View report
 

 

Using AI responsibly
The United States has issued an Executive Order on Safe, Secure, and Trustworthy Artificial Intelligence that establishes principles and guidelines for federal agencies to follow when implementing an AI system. It also offers a framework for working with various stakeholders. The Future of Professionals report shows that 52% of professionals believe that regulations governing the professional ethics of AI are a necessity, and 25% believe that governments should be designing and overseeing professional ethics regulations. 


Overall, over 75% of professionals heavily believe the profession and the government should regulate AI.
Key areas of AI governance frameworks should cover encryption and authentication protocols, frequent auditing and testing procedures, traceability, educating employees on the proper and ethical use of AI, and best practices for securing and protecting confidential data. Ultimately, businesses and departments should be able to understand how an algorithm arrives at its output and where the data comes from. Because it pulls data from large data sets, those data sets should be legitimate and qualified to get the most accurate and relevant output.  

If AI is to be incorporated into your workflow, a human-centric design should be at the core of the initiative. Transparency and accountability are all crucial to maintaining trust with clients, users, and employees. Biases should be avoided, fairness should be promoted, and security should be the top priority.  

Given the private and confidential nature of the information that professionals are working with, we believe that developing internal AI regulations and governance at the firm level is critical to establishing trust, accountability, and transparency around the consent and privacy of client information. It’s important to understand the principles behind AI ethics and make sure your organization has a framework that is tailored to the business and your customers. 

Confidence in your adoption of AI for all stakeholders lies in professionals’ ability to provide high levels of service, access to information on the use of AI, and foster a culture of risk mitigation and awareness. For more information, download the Future of Professionals report.  ",
10,"MUSCAT: The Islamic World AI Charter (IWAIC) Regional Workshop, which kicked off on Tuesday in Muscat and held under the auspices of Dr Khamis bin Said al Jabri, Chairman of Oman Vision 2040 Implementation Follow-up Unit, underscored the urgency and strategies for adopting ethical AI practices across member states.... Read more on: https://www.omanobserver.om/article/1155842/business/economy/united-front-asia-and-the-middle-east-push-for-ethical-ai",https://www.omanobserver.om/article/1155842/business/economy/united-front-asia-and-the-middle-east-push-for-ethical-ai,Dan,News Article,,
