Index,Text,Response,Emotional and Psychological Strain,Financial Inconsistencies and Challenges,Mistrust and Skepticism,Institutional Practices and Responsiveness,Repayment and Financial Rectification,Communication and Miscommunication,Robodebt Scheme Consequences,Denial of Personal Responsibility,Departmental Advice and Processes,Character Attacks and Political Agendas,Defense of Service and Performance
0,"Emotional and Psychological Strain: 60.0
Financial Inconsistencies and Challenges: 90.0
Mistrust and Skepticism: 80.0
Institutional Practices and Responsiveness: 85.0
Repayment and Financial Rectification: 70.0
Communication and Miscommunication: 95.0
Robodebt Scheme Consequences: 75.0
Denial of Personal Responsibility: 0.0
Departmental Advice and Processes: 80.0
Character Attacks and Political Agendas: 0.0
Defense of Service and Performance: 0.0","Emotional and Psychological Strain: 60.0
Financial Inconsistencies and Challenges: 90.0
Mistrust and Skepticism: 80.0
Institutional Practices and Responsiveness: 85.0
Repayment and Financial Rectification: 70.0
Communication and Miscommunication: 95.0
Robodebt Scheme Consequences: 75.0
Denial of Personal Responsibility: 0.0
Departmental Advice and Processes: 80.0
Character Attacks and Political Agendas: 0.0
Defense of Service and Performance: 0.0",60.0,90.0,80.0,85.0,70.0,95.0,75.0,0.0,80.0,0.0,0.0
1,"Emotional and Psychological Strain: 20.0
Financial Inconsistencies and Challenges: 90.0
Mistrust and Skepticism: 70.0
Institutional Practices and Responsiveness: 80.0
Repayment and Financial Rectification: 100.0
Communication and Miscommunication: 80.0
Robodebt Scheme Consequences: 100.0
Denial of Personal Responsibility: 0.0
Departmental Advice and Processes: 70.0
Character Attacks and Political Agendas: 0.0
Defense of Service and Performance: 0.0","Emotional and Psychological Strain: 20.0
Financial Inconsistencies and Challenges: 90.0
Mistrust and Skepticism: 70.0
Institutional Practices and Responsiveness: 80.0
Repayment and Financial Rectification: 100.0
Communication and Miscommunication: 80.0
Robodebt Scheme Consequences: 100.0
Denial of Personal Responsibility: 0.0
Departmental Advice and Processes: 70.0
Character Attacks and Political Agendas: 0.0
Defense of Service and Performance: 0.0",20.0,90.0,70.0,80.0,100.0,80.0,100.0,0.0,70.0,0.0,0.0
2,"Emotional and Psychological Strain: 0.0
Financial Inconsistencies and Challenges: 0.0
Mistrust and Skepticism: 20.0
Institutional Practices and Responsiveness: 60.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 30.0
Robodebt Scheme Consequences: 70.0
Denial of Personal Responsibility: 100.0
Departmental Advice and Processes: 50.0
Character Attacks and Political Agendas: 80.0
Defense of Service and Performance: 100.0","Emotional and Psychological Strain: 0.0
Financial Inconsistencies and Challenges: 0.0
Mistrust and Skepticism: 20.0
Institutional Practices and Responsiveness: 60.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 30.0
Robodebt Scheme Consequences: 70.0
Denial of Personal Responsibility: 100.0
Departmental Advice and Processes: 50.0
Character Attacks and Political Agendas: 80.0
Defense of Service and Performance: 100.0",0.0,0.0,20.0,60.0,0.0,30.0,70.0,100.0,50.0,80.0,100.0
3,"Emotional and Psychological Strain: 70.0
Financial Inconsistencies and Challenges: 0.0
Mistrust and Skepticism: 40.0
Institutional Practices and Responsiveness: 60.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 20.0
Robodebt Scheme Consequences: 100.0
Denial of Personal Responsibility: 100.0
Departmental Advice and Processes: 30.0
Character Attacks and Political Agendas: 80.0
Defense of Service and Performance: 90.0","Emotional and Psychological Strain: 70.0
Financial Inconsistencies and Challenges: 0.0
Mistrust and Skepticism: 40.0
Institutional Practices and Responsiveness: 60.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 20.0
Robodebt Scheme Consequences: 100.0
Denial of Personal Responsibility: 100.0
Departmental Advice and Processes: 30.0
Character Attacks and Political Agendas: 80.0
Defense of Service and Performance: 90.0",70.0,0.0,40.0,60.0,0.0,20.0,100.0,100.0,30.0,80.0,90.0
4,"Emotional and Psychological Strain: 0.0
Financial Inconsistencies and Challenges: 0.0
Mistrust and Skepticism: 20.0
Institutional Practices and Responsiveness: 60.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 30.0
Robodebt Scheme Consequences: 50.0
Denial of Personal Responsibility: 100.0
Departmental Advice and Processes: 70.0
Character Attacks and Political Agendas: 40.0
Defense of Service and Performance: 80.0","Emotional and Psychological Strain: 0.0
Financial Inconsistencies and Challenges: 0.0
Mistrust and Skepticism: 20.0
Institutional Practices and Responsiveness: 60.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 30.0
Robodebt Scheme Consequences: 50.0
Denial of Personal Responsibility: 100.0
Departmental Advice and Processes: 70.0
Character Attacks and Political Agendas: 40.0
Defense of Service and Performance: 80.0",0.0,0.0,20.0,60.0,0.0,30.0,50.0,100.0,70.0,40.0,80.0
5,"Emotional and Psychological Strain: 10.0
Financial Inconsistencies and Challenges: 0.0
Mistrust and Skepticism: 80.0
Institutional Practices and Responsiveness: 70.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 60.0
Robodebt Scheme Consequences: 0.0
Denial of Personal Responsibility: 90.0
Departmental Advice and Processes: 100.0
Character Attacks and Political Agendas: 0.0
Defense of Service and Performance: 20.0","Emotional and Psychological Strain: 10.0
Financial Inconsistencies and Challenges: 0.0
Mistrust and Skepticism: 80.0
Institutional Practices and Responsiveness: 70.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 60.0
Robodebt Scheme Consequences: 0.0
Denial of Personal Responsibility: 90.0
Departmental Advice and Processes: 100.0
Character Attacks and Political Agendas: 0.0
Defense of Service and Performance: 20.0",10.0,0.0,80.0,70.0,0.0,60.0,0.0,90.0,100.0,0.0,20.0
6,"Emotional and Psychological Strain: 0.0
Financial Inconsistencies and Challenges: 30.0
Mistrust and Skepticism: 60.0
Institutional Practices and Responsiveness: 20.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 10.0
Robodebt Scheme Consequences: 0.0
Denial of Personal Responsibility: 70.0
Departmental Advice and Processes: 0.0
Character Attacks and Political Agendas: 80.0
Defense of Service and Performance: 100.0","Emotional and Psychological Strain: 0.0
Financial Inconsistencies and Challenges: 30.0
Mistrust and Skepticism: 60.0
Institutional Practices and Responsiveness: 20.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 10.0
Robodebt Scheme Consequences: 0.0
Denial of Personal Responsibility: 70.0
Departmental Advice and Processes: 0.0
Character Attacks and Political Agendas: 80.0
Defense of Service and Performance: 100.0",0.0,30.0,60.0,20.0,0.0,10.0,0.0,70.0,0.0,80.0,100.0
7,"Emotional and Psychological Strain: 0.0
Financial Inconsistencies and Challenges: 0.0
Mistrust and Skepticism: 50.0
Institutional Practices and Responsiveness: 30.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 20.0
Robodebt Scheme Consequences: 60.0
Denial of Personal Responsibility: 100.0
Departmental Advice and Processes: 0.0
Character Attacks and Political Agendas: 90.0
Defense of Service and Performance: 70.0","Emotional and Psychological Strain: 0.0
Financial Inconsistencies and Challenges: 0.0
Mistrust and Skepticism: 50.0
Institutional Practices and Responsiveness: 30.0
Repayment and Financial Rectification: 0.0
Communication and Miscommunication: 20.0
Robodebt Scheme Consequences: 60.0
Denial of Personal Responsibility: 100.0
Departmental Advice and Processes: 0.0
Character Attacks and Political Agendas: 90.0
Defense of Service and Performance: 70.0",0.0,0.0,50.0,30.0,0.0,20.0,60.0,100.0,0.0,90.0,70.0
8,"Emotional and Psychological Strain: 100.0
Financial Inconsistencies and Challenges: 100.0
Mistrust and Skepticism: 70.0
Institutional Practices and Responsiveness: 80.0
Repayment and Financial Rectification: 90.0
Communication and Miscommunication: 60.0
Robodebt Scheme Consequences: 100.0
Denial of Personal Responsibility: 0.0
Departmental Advice and Processes: 50.0
Character Attacks and Political Agendas: 0.0
Defense of Service and Performance: 0.0","Emotional and Psychological Strain: 100.0
Financial Inconsistencies and Challenges: 100.0
Mistrust and Skepticism: 70.0
Institutional Practices and Responsiveness: 80.0
Repayment and Financial Rectification: 90.0
Communication and Miscommunication: 60.0
Robodebt Scheme Consequences: 100.0
Denial of Personal Responsibility: 0.0
Departmental Advice and Processes: 50.0
Character Attacks and Political Agendas: 0.0
Defense of Service and Performance: 0.0",100.0,100.0,70.0,80.0,90.0,60.0,100.0,0.0,50.0,0.0,0.0
9,"Emotional and Psychological Strain: 90.0
Financial Inconsistencies and Challenges: 95.0
Mistrust and Skepticism: 85.0
Institutional Practices and Responsiveness: 70.0
Repayment and Financial Rectification: 100.0
Communication and Miscommunication: 80.0
Robodebt Scheme Consequences: 100.0
Denial of Personal Responsibility: 0.0
Departmental Advice and Processes: 60.0
Character Attacks and Political Agendas: 0.0
Defense of Service and Performance: 0.0","Emotional and Psychological Strain: 90.0
Financial Inconsistencies and Challenges: 95.0
Mistrust and Skepticism: 85.0
Institutional Practices and Responsiveness: 70.0
Repayment and Financial Rectification: 100.0
Communication and Miscommunication: 80.0
Robodebt Scheme Consequences: 100.0
Denial of Personal Responsibility: 0.0
Departmental Advice and Processes: 60.0
Character Attacks and Political Agendas: 0.0
Defense of Service and Performance: 0.0",90.0,95.0,85.0,70.0,100.0,80.0,100.0,0.0,60.0,0.0,0.0
